tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status
5.35763888888891,10.0,999.0,0
5.35763888888891,999.0,999.0,0
5.35763888888891,999.0,999.0,0
5.35763888888891,999.0,999.0,0
5.35763888888891,999.0,999.0,0
5.35763888888891,999.0,999.0,0
5.35763888888891,999.0,999.0,0
5.35763888888891,999.0,999.0,0
5.35763888888891,999.0,999.0,0
3.92847222222222,999.0,999.0,1
3.89444444444444,999.0,999.0,1
3.84907407407407,999.0,999.0,1
3.81504629629629,999.0,999.0,1
3.78101851851852,999.0,999.0,1
3.73564814814815,999.0,999.0,1
3.70162037037037,999.0,999.0,1
3.65625,999.0,999.0,1
2.46527777777776,999.0,999.0,1
2.43124999999998,999.0,999.0,1
2.38587962962961,999.0,999.0,1
2.35185185185183,999.0,999.0,1
2.30648148148146,999.0,999.0,1
2.27245370370368,999.0,999.0,1
2.22708333333331,999.0,999.0,1
2.19305555555553,999.0,999.0,1
2.15902777777776,999.0,999.0,1
2.11365740740738,999.0,999.0,1
2.07962962962961,999.0,999.0,1
2.04560185185183,999.0,999.0,1
2.00023148148146,999.0,999.0,1
1.96620370370368,999.0,999.0,1
1.92083333333331,999.0,999.0,1
1.88680555555553,999.0,999.0,1
1.85277777777775,999.0,999.0,1
1.81874999999997,999.0,999.0,1
1.78472222222219,999.0,999.0,1
1.73935185185182,999.0,999.0,1
1.70532407407405,999.0,999.0,1
5.8,10.0,0.319444444444444,1
4.21203703703704,999.0,999.0,1
4.16666666666667,999.0,999.0,1
4.13263888888889,999.0,999.0,1
4.08726851851852,999.0,999.0,1
4.04189814814815,999.0,999.0,1
4.00787037037037,999.0,999.0,1
3.9625,999.0,999.0,1
3.92847222222222,999.0,999.0,1
3.88310185185185,999.0,999.0,1
3.84907407407407,2.45,999.0,1
3.8037037037037,999.0,999.0,1
2.30648148148146,999.0,999.0,1
2.26111111111109,999.0,999.0,1
2.21574074074072,999.0,999.0,1
2.18171296296294,999.0,999.0,1
2.13634259259257,999.0,999.0,1
2.10231481481479,999.0,999.0,1
2.05694444444442,999.0,999.0,1
2.01157407407405,999.0,999.0,1
1.97754629629627,999.0,999.0,1
1.9321759259259,999.0,999.0,1
1.88680555555553,999.0,999.0,1
1.85277777777775,999.0,999.0,1
1.80740740740738,999.0,999.0,1
1.7733796296296,999.0,999.0,1
1.72800925925923,999.0,999.0,1
1.69398148148145,999.0,999.0,1
1.64861111111108,999.0,999.0,1
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,999.0,999.0,0
5.8,10.0,0.591666666666666,1
4.49560185185186,999.0,999.0,1
4.45023148148149,999.0,999.0,1
4.40486111111112,999.0,999.0,1
4.37083333333334,999.0,999.0,1
4.32546296296297,999.0,999.0,1
4.2800925925926,999.0,999.0,1
4.24606481481482,999.0,999.0,1
4.20069444444445,999.0,999.0,1
4.16666666666667,999.0,999.0,1
4.1212962962963,999.0,999.0,1
4.07592592592593,999.0,999.0,1
4.04189814814815,999.0,999.0,1
3.99652777777778,999.0,999.0,1
3.95115740740741,999.0,999.0,1
3.91712962962963,999.0,999.0,1
3.87175925925926,999.0,999.0,1
3.83773148148148,999.0,999.0,1
3.8037037037037,999.0,999.0,1
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,10.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,10.0,999.0,0
2.18171296296294,10.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.18171296296294,999.0,999.0,0
2.00023148148146,999.0,999.0,1
1.96620370370368,999.0,999.0,1
1.9321759259259,999.0,999.0,1
1.88680555555553,999.0,999.0,1
1.85277777777775,999.0,999.0,1
1.81874999999997,999.0,999.0,1
1.26296296296293,10.0,0.884722222222222,1
5.49375000000001,999.0,999.0,1
5.45972222222224,999.0,999.0,1
5.41435185185187,999.0,999.0,1
5.3689814814815,999.0,999.0,1
5.33495370370372,999.0,999.0,1
5.16481481481483,999.0,999.0,1
5.13078703703705,999.0,999.0,1
5.09675925925927,999.0,999.0,1
4.79050925925927,2.45,0.907407407407407,1
4.22337962962963,2.45,0.907407407407407,1
4.17800925925926,2.45,0.907407407407407,1
3.08912037037036,2.45,0.907407407407407,1
2.01157407407405,2.45,0.907407407407407,1
1.96620370370368,2.45,0.907407407407407,1
0.378240740740704,2.45,0.907407407407407,1
0.344212962962926,2.45,0.907407407407407,1
0.298842592592556,2.45,0.0226851851851852,1
0.298842592592556,2.45,0.0907407407407407,1
5.39166666666668,2.45,0.907407407407407,1
5.34629629629631,2.45,0.907407407407407,1
4.29143518518519,2.45,0.907407407407407,1
4.25740740740741,2.45,0.907407407407407,1
4.21203703703704,2.45,0.907407407407407,1
2.60138888888887,2.45,0.907407407407407,1
1.54652777777775,2.45,0.907407407407407,1
1.51249999999997,2.45,0.907407407407407,1
1.4671296296296,2.45,0.907407407407407,1
0.968055555555519,2.45,0.907407407407407,1
0.934027777777741,2.45,0.907407407407407,1
5.49375000000001,2.45,0.907407407407407,1
5.44837962962964,2.45,0.907407407407407,1
4.92662037037038,2.45,0.907407407407407,1
4.84722222222223,2.45,0.907407407407407,1
4.37083333333334,2.45,0.907407407407407,1
4.33680555555556,2.45,0.907407407407407,1
2.69212962962961,2.45,0.907407407407407,1
2.64675925925924,2.45,0.907407407407407,1
1.03611111111107,2.45,0.907407407407407,1
1.0020833333333,2.45,0.907407407407407,1
0.298842592592556,2.45,0.272222222222222,1
0.298842592592556,2.45,0.362962962962963,1
0.298842592592556,2.45,0.453703703703704,1
5.56180555555556,2.45,0.907407407407407,1
5.52777777777779,2.45,0.907407407407407,1
4.48425925925927,2.45,0.907407407407407,1
4.4388888888889,2.45,0.907407407407407,1
4.40486111111112,2.45,0.907407407407407,1
3.36134259259259,2.45,0.907407407407407,1
3.32731481481481,2.45,0.907407407407407,1
2.81689814814813,2.45,0.907407407407407,1
2.77152777777776,2.45,0.907407407407407,1
1.70532407407405,2.45,0.907407407407407,1
1.68263888888886,2.45,0.907407407407407,1
5.8,0.0,0.0,0
5.8,0.0,0.0,0
5.8,0.0,0.0,0
5.78865740740741,0.0,0.0226851851851852,0
5.77731481481482,0.0,0.0453703703703704,0
5.77731481481482,0.0,0.0453703703703704,0
5.77731481481482,0.0,0.0453703703703704,0
5.77731481481482,0.0,0.0453703703703704,0
5.77731481481482,0.0,0.0453703703703704,0
5.77731481481482,0.0,0.0453703703703704,0
5.77731481481482,0.0,0.0453703703703704,0
5.61851851851852,0.0,0.204166666666667,0
5.60717592592593,0.0,0.226851851851852,0
5.60717592592593,0.0,0.226851851851852,0
5.60717592592593,0.0,0.226851851851852,0
5.60717592592593,0.0,0.226851851851852,0
5.60717592592593,0.0,0.226851851851852,0
5.60717592592593,0.0,0.226851851851852,0
5.59583333333334,0.0,0.226851851851852,0
5.59583333333334,0.0,0.226851851851852,0
5.59583333333334,0.0,0.226851851851852,0
5.59583333333334,0.0,0.226851851851852,0
5.59583333333334,0.0,0.226851851851852,0
5.43703703703705,0.0,0.431018518518518,0
5.43703703703705,0.0,0.431018518518518,0
5.43703703703705,0.0,0.431018518518518,0
5.42569444444446,0.0,0.431018518518518,0
5.41435185185187,0.0,0.431018518518518,0
5.41435185185187,0.0,0.431018518518518,0
5.41435185185187,0.0,0.431018518518518,0
5.41435185185187,0.0,0.431018518518518,0
5.41435185185187,0.0,0.431018518518518,0
5.41435185185187,0.0,0.431018518518518,0
5.40300925925927,0.0,0.431018518518518,0
5.40300925925927,0.0,0.431018518518518,0
5.13078703703705,0.0,0.680555555555555,0
5.09675925925927,0.0,0.748611111111111,0
5.09675925925927,0.0,0.748611111111111,0
5.09675925925927,0.0,0.748611111111111,0
5.09675925925927,0.0,0.748611111111111,0
5.09675925925927,0.0,0.748611111111111,0
5.09675925925927,0.0,0.748611111111111,0
5.08541666666668,0.0,0.748611111111111,0
5.08541666666668,0.0,0.748611111111111,0
5.08541666666668,0.0,0.748611111111111,0
5.08541666666668,0.0,0.748611111111111,0
4.93796296296298,0.0,0.0,0
4.93796296296298,0.0,0.0,0
4.93796296296298,0.0,0.0,0
4.93796296296298,0.0,0.0,0
4.93796296296298,0.0,0.0,0
4.93796296296298,0.0,0.0,0
4.92662037037038,0.0,0.0,0
4.92662037037038,0.0,0.0,0
4.92662037037038,0.0,0.0,0
4.92662037037038,0.0,0.0,0
4.79050925925927,0.0,0.136111111111111,0
4.77916666666668,0.0,0.158796296296296,0
4.77916666666668,0.0,0.158796296296296,0
4.77916666666668,0.0,0.158796296296296,0
4.76782407407408,0.0,0.158796296296296,0
4.76782407407408,0.0,0.158796296296296,0
4.76782407407408,0.0,0.158796296296296,0
4.76782407407408,0.0,0.158796296296296,0
4.72245370370371,0.0,0.249537037037037,0
4.72245370370371,0.0,0.249537037037037,0
4.72245370370371,0.0,0.249537037037037,0
4.72245370370371,0.0,0.249537037037037,0
4.72245370370371,0.0,0.249537037037037,0
4.60902777777779,0.0,0.431018518518518,0
4.60902777777779,0.0,0.431018518518518,0
4.60902777777779,0.0,0.431018518518518,0
4.60902777777779,0.0,0.431018518518518,0
4.60902777777779,0.0,0.431018518518518,0
4.60902777777779,0.0,0.431018518518518,0
4.52962962962964,0.0,0.499074074074074,0
4.51828703703704,0.0,0.499074074074074,0
4.51828703703704,0.0,0.499074074074074,0
4.51828703703704,0.0,0.499074074074074,0
4.51828703703704,0.0,0.499074074074074,0
4.51828703703704,0.0,0.499074074074074,0
4.51828703703704,0.0,0.499074074074074,0
4.51828703703704,0.0,0.499074074074074,0
4.50694444444445,0.0,0.521759259259259,0
4.45023148148149,0.0,0.6125,0
4.45023148148149,0.0,0.6125,0
4.45023148148149,0.0,0.6125,0
4.45023148148149,0.0,0.6125,0
4.45023148148149,0.0,0.6125,0
4.45023148148149,0.0,0.6125,0
4.45023148148149,0.0,0.6125,0
4.35949074074075,0.0,0.793981481481481,0
4.34814814814815,0.0,0.816666666666666,0
4.33680555555556,0.0,0.839351851851852,0
4.33680555555556,0.0,0.839351851851852,0
4.33680555555556,0.0,0.839351851851852,0
4.33680555555556,0.0,0.839351851851852,0
4.33680555555556,0.0,0.839351851851852,0
4.33680555555556,0.0,0.839351851851852,0
4.24606481481482,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.17800925925926,0.0,0.113425925925926,0
4.17800925925926,0.0,0.113425925925926,0
4.17800925925926,0.0,0.113425925925926,0
4.16666666666667,0.0,0.113425925925926,0
4.15532407407408,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.06458333333333,0.0,0.249537037037037,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.9625,0.0,0.294907407407407,0
3.9625,0.0,0.294907407407407,0
3.9625,0.0,0.294907407407407,0
3.82638888888889,0.0,0.567129629629629,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.78101851851852,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.56550925925925,0.0,0.0,0
3.55416666666666,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.37268518518518,0.0,0.226851851851852,0
3.36134259259259,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.07777777777777,0.0,0.567129629629629,0
3.07777777777777,0.0,0.567129629629629,0
3.07777777777777,0.0,0.567129629629629,0
3.07777777777777,0.0,0.567129629629629,0
3.06643518518517,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
5.64120370370371,2.45,0.340277777777778,0
5.47106481481483,2.45,0.635185185185185,0
5.25555555555557,2.45,0.907407407407407,1
4.82453703703705,2.45,0.680555555555555,0
4.66574074074075,2.45,0.907407407407407,1
4.39351851851852,2.45,0.340277777777778,0
4.04189814814815,0.0,0.907407407407407,1
3.61087962962963,2.45,0.771296296296296,0
3.52013888888888,0.0,0.907407407407407,1
3.31597222222221,2.45,0.340277777777778,0
3.13449074074073,2.45,0.65787037037037,0
2.78287037037036,2.45,0.340277777777778,0
2.59004629629628,2.45,0.680555555555555,0
2.19305555555553,2.45,0.385648148148148,0
2.01157407407405,2.45,0.680555555555555,0
1.84143518518516,2.45,0.907407407407407,1
1.58055555555553,2.45,0.272222222222222,0
1.24027777777774,0.0,0.907407407407407,1
1.01342592592589,2.45,0.340277777777778,0
0.831944444444408,2.45,0.680555555555555,0
0.695833333333297,0.0,0.907407407407407,1
0.44629629629626,2.45,0.385648148148148,0
0.298842592592556,2.45,0.680555555555555,1
0.298842592592556,2.45,0.748611111111111,1
5.44837962962964,2.45,0.521759259259259,0
5.26689814814817,2.45,0.839351851851852,0
4.97199074074075,2.45,0.385648148148148,0
4.80185185185186,2.45,0.725925925925926,0
4.66574074074075,0.0,0.0,0
4.49560185185186,2.45,0.226851851851852,0
4.31412037037038,2.45,0.589814814814815,0
4.15532407407408,2.45,0.816666666666666,0
3.88310185185185,2.45,0.362962962962963,0
3.71296296296296,2.45,0.65787037037037,0
3.57685185185185,0.0,0.907407407407407,1
3.32731481481481,2.45,0.317592592592593,0
3.16851851851851,2.45,0.6125,0
3.00972222222221,2.45,0.907407407407407,1
2.73749999999998,2.45,0.340277777777778,0
2.5560185185185,2.45,0.680555555555555,0
2.04560185185183,2.45,0.635185185185185,0
1.88680555555553,0.0,0.907407407407407,1
1.68263888888886,2.45,0.340277777777778,0
1.50115740740738,2.45,0.6125,0
1.13819444444441,2.45,0.294907407407407,0
0.979398148148111,2.45,0.567129629629629,0
0.786574074074037,2.45,0.907407407407407,1
0.537037037037,2.45,0.249537037037037,0
0.355555555555519,2.45,0.6125,0
0.298842592592556,2.45,0.748611111111111,1
5.72060185185185,2.45,0.907407407407407,1
5.44837962962964,2.45,0.317592592592593,0
5.43703703703705,0.0,0.340277777777778,0
5.25555555555557,2.45,0.70324074074074,0
5.14212962962965,0.0,0.907407407407407,1
4.93796296296298,2.45,0.317592592592593,0
4.59768518518519,0.0,0.907407407407407,1
4.40486111111112,2.45,0.272222222222222,0
3.93981481481481,2.45,0.385648148148148,0
